Datum,Differenz in kWh,Kapazität in kWh,Laden/Einspeisen in kWh
2030-11-25 03:45:00,-587.0208954060945,56000.0,587.0208954060945
2030-11-25 04:00:00,-252.39533109427612,56000.0,0.0
2030-11-25 04:15:00,44.46443036075652,55955.53556963924,-44.46443036075652
2030-11-25 04:30:00,318.6533342401217,55636.88223539912,-318.6533342401217
2030-11-25 04:45:00,717.271346008325,54919.610889390795,-717.271346008325
2030-11-25 05:00:00,801.2445943073635,54118.36629508343,-801.2445943073635
2030-11-25 05:15:00,660.9475671475411,53457.41872793589,-660.9475671475411
2030-11-25 05:30:00,511.62574152562956,52945.79298641026,-511.62574152562956
2030-11-25 05:45:00,766.9963315247951,52178.79665488547,-766.9963315247951
2030-11-25 06:00:00,586.1435293634568,51592.65312552201,-586.1435293634568
2030-11-25 06:15:00,921.1281524268961,50671.52497309512,-921.1281524268961
2030-11-25 06:30:00,1266.2365965698646,49405.288376525255,-1266.2365965698646
2030-11-25 06:45:00,1910.6004718805725,47494.687904644685,-1910.6004718805725
2030-11-25 07:00:00,1986.4321925813692,45508.255712063314,-1986.4321925813692
2030-11-25 07:15:00,2175.197144697666,43333.058567365646,-2175.197144697666
2030-11-25 07:30:00,2380.2142474083503,40952.844319957294,-2380.2142474083503
2030-11-25 07:45:00,2699.5958685632468,38253.24845139404,-2699.5958685632468
2030-11-25 08:00:00,2851.3648037674047,35401.88364762664,-2851.3648037674047
2030-11-25 08:15:00,2752.197213486983,32649.686434139654,-2752.197213486983
2030-11-25 08:30:00,2765.0449550690428,29884.64147907061,-2765.0449550690428
2030-11-25 08:45:00,3054.7551236066683,26829.886355463943,-3054.7551236066683
2030-11-25 09:00:00,3268.163639808139,23561.722715655804,-3268.163639808139
2030-11-25 09:15:00,3411.313315749123,20150.409399906683,-3411.313315749123
2030-11-25 09:30:00,3457.4291420597783,16692.980257846903,-3457.4291420597783
2030-11-25 09:45:00,3442.3247651568945,13250.655492690008,-3442.3247651568945
2030-11-25 10:00:00,3163.264271457614,10087.391221232394,-3163.264271457614
2030-11-25 10:15:00,3159.5417841004837,6927.84943713191,-3159.5417841004837
2030-11-25 10:30:00,3033.306956507826,3894.5424806240844,-3033.306956507826
2030-11-25 10:45:00,3214.906958149175,679.6355224749095,-3214.906958149175
2030-11-25 11:00:00,3550.2059343977926,679.6355224749095,-679.6355224749095
2030-11-25 11:15:00,3636.71366175151,0.0,0.0
2030-11-25 11:30:00,3683.796446492359,0.0,0.0
2030-11-25 11:45:00,3505.3843858426862,0.0,0.0
2030-11-25 12:00:00,3649.462149677025,0.0,0.0
2030-11-25 12:15:00,3705.9290153552683,0.0,0.0
2030-11-25 12:30:00,3842.9408308803577,0.0,0.0
2030-11-25 12:45:00,4010.32257555845,0.0,0.0
2030-11-25 13:00:00,4310.899456486593,0.0,0.0
2030-11-25 13:15:00,4476.510828598144,0.0,0.0
2030-11-25 13:30:00,4634.060305842006,0.0,0.0
2030-11-25 13:45:00,4678.588521184247,0.0,0.0
2030-11-25 14:00:00,5053.717233171281,0.0,0.0
2030-11-25 14:15:00,5326.851809663889,0.0,0.0
2030-11-25 14:30:00,5674.7466282116875,0.0,0.0
2030-11-25 14:45:00,5976.967620570149,0.0,0.0
2030-11-25 15:00:00,6403.690205241424,0.0,0.0
2030-11-25 15:15:00,6778.650046230381,0.0,0.0
2030-11-25 15:30:00,6888.88785731186,0.0,0.0
2030-11-25 15:45:00,6909.654984092269,0.0,0.0
2030-11-25 16:00:00,7203.422197075861,0.0,0.0
